;; A mapping for multi-word expressions that correspond to Amenities in Hotels
;; It follows the pattern of the WN->SUMO mappings
;; An explanation of synsets data format is in http://wordnet.princeton.edu/man/wndb.5WN.html. 
;; A record is of the form:
;; synset_offset  lex_filenum  ss_type  w_cnt  word  lex_id  [word  lex_id...]  p_cnt  [ptr...]  [frames...]  |   gloss &%SUMOconcept symbol(+,=) 
;; examples:
;; 00001740 03 n 01 entity 0 003 ~ 00001930 n 0000 ~ 00002137 n 0000 ~ 04424418 n 0000 | that which is perceived or known or inferred to have its own distinct existence (living or nonliving) &%Entity=
;; 04371430 06 n 02 swimming_trunks 0 bathing_trunks 0 002 @ 04371563 n 0000 ;u 06295235 n 0000 | swimsuit worn by men while swimming &%Clothing+
;; we also list the amenities that are already part of the WN->SUMO mapping to check them
;; Preliminary version Oct 20, 2011  Valeria de Paiva (lexicographer 99)  
;; This work is released under the GNU Public License http://www.gnu.org/copyleft/gpl.html>. 
;; Content repeated from WordNet is governed by the WordNet license 

15300731 99 n 02 downstairs 0 downstairs_room 0 000 | room positioned on the ground floor &%DownstairsRoom=
15300741 99 n 01 down_and_in_room 0 000 | a hotel unit that has its entrance and exit inside the hotel building &%DownAndInRoom=
15300751 99 n 01 down_and_out_room 0 000 | a hotel unit that has its entrance and exit outside the hotel building &%DownAndOutRoom=
15300761 99 n 01 female_executive_room 0 000 | a room that has been designed for the female executive &%FemaleExecutiveRoom=
15300771 99 n 02 honeymoon_suite 0 romance_suite 0 000 | a suite in a hotel for newly wedded people  on their honeymoon trip &%HoneymoonSuite=
15300781 99 a 01 loft_style 0 000| a room which has a raised floor space above the ground that overlooks  the ground floor &%LoftStyle=
15300791 99 a 02 oversized 0 king_size 0 000 | something that has a larger measure than usual &%Oversized=
15300801 99 a 01 asian_room_style 0 000 | a hotel unit that has a layout, furniture and decor that is aligned with Asian culture &%AsianRoomStyle=
15300811 99 a 01 western_room_style 0 000 | a hotel unit that has a layout, furniture and decor that is aligned with Western culture &%WesternRoomStyle=
04351550 06 n 02 suite 0 rooms 0 001 @ 02726305 n 0000 | apartment consisting of a series of connected rooms used as a living unit (as in a hotel) &%Suite=
15300821 99 n 03 theme_room 0 themed_room 0 fantasy_room 0 000 | a hotel unit that follows a certain style or theme of decor, for instance, a Disney-themed room &%ThemeRoom=
15300831 99 n 01 tower_room 0 000 | a hotel unit that is in the high rise building of a hotel &%Tower_Room=
